model,reward_mean,reward_std,reward_median,map_target_ratio,hypotension_rate,severe_hypotension_rate,lactate_high_rate,action_switch_rate,terminal_bad_rate,mean_steps
Fusion-a0.4,20.736549999999994,3.005337299138627,21.349999999999998,0.9194027777777778,0.004333333333333333,0.0,0.0045138888888888885,0.43145833333333333,0.0,24.0
Fusion-a0.2,20.707316666666664,3.0384908164859574,21.349999999999998,0.9186388888888889,0.004333333333333333,0.0,0.0045,0.4392916666666667,0.0,24.0
Fusion-a0.6,20.640299999999996,3.0136666436219555,21.299999999999997,0.9154583333333334,0.004333333333333333,0.0,0.0045138888888888885,0.4248888888888889,0.0,24.0
Fusion-a0.0,20.553366666666665,3.09112849253171,21.299999999999997,0.9132638888888889,0.004333333333333333,0.0,0.0045,0.4493333333333333,0.0,24.0
Standard-DQN,20.553366666666665,3.09112849253171,21.299999999999997,0.9132638888888889,0.004333333333333333,0.0,0.0045,0.4493333333333333,0.0,24.0
Fusion-a0.8,20.417466666666662,3.083705778658526,21.249999999999996,0.9070972222222222,0.004333333333333333,0.0,0.0045138888888888885,0.4245277777777777,0.0,24.0
Fusion-a1.0,20.04408333333333,3.3608393158095344,20.999999999999993,0.8942222222222221,0.004333333333333333,0.0,0.0045138888888888885,0.42868055555555556,0.0,24.0
VQC-DQN,20.04408333333333,3.3608393158095344,20.999999999999993,0.8942222222222221,0.004333333333333333,0.0,0.0045138888888888885,0.42868055555555556,0.0,24.0
Small-DQN,18.35468333333333,5.941731955072602,20.099999999999998,0.835375,0.008972222222222223,0.0009757936507936507,0.008763888888888889,0.4036805555555556,0.004666666666666667,23.913333333333334
RuleBased,7.551300000000002,3.6032940326820357,8.05,0.4161944444444444,0.004333333333333333,0.0,0.0045,0.34886111111111107,0.0,24.0
Random,-22.866016666666667,20.80162217540013,-20.75,0.13818597607585528,0.4190814022830243,0.11839596871579137,0.11703465895877055,0.6617828564977845,0.5556666666666666,16.18
