model,profile,reward_mean,reward_std,map_target_ratio,hypotension_rate,lactate_high_rate,action_switch_rate,terminal_bad_rate
Fusion-a0.4,high_risk,20.299749999999996,1.0372224873737828,0.8793055555555557,0.0,0.0,0.42826388888888883,0.0
Fusion-a0.2,high_risk,20.25233333333333,1.0729149390015853,0.8779166666666667,0.0,0.0,0.4372222222222222,0.0
Fusion-a0.6,high_risk,20.230749999999997,1.0802832764738375,0.8764583333333333,0.0,0.0,0.423125,0.0
Fusion-a0.0,high_risk,20.131499999999996,1.1926385570992597,0.87375,0.0,0.0,0.44625,0.0
Standard-DQN,high_risk,20.131499999999996,1.1926385570992597,0.87375,0.0,0.0,0.44625,0.0
Fusion-a0.8,high_risk,20.021166666666662,1.1947060348631589,0.868611111111111,0.0,0.0,0.4225,0.0
Fusion-a1.0,high_risk,19.729666666666663,1.399085638287016,0.8578472222222223,0.0,0.0,0.42597222222222225,0.0
VQC-DQN,high_risk,19.729666666666663,1.399085638287016,0.8578472222222223,0.0,0.0,0.42597222222222225,0.0
Small-DQN,high_risk,18.49675,3.8265233226430495,0.8113194444444445,0.0,0.0,0.398125,0.0
RuleBased,high_risk,7.500916666666667,2.8695590151260237,0.39166666666666666,0.0,0.0,0.36590277777777774,0.0
Random,high_risk,-31.562583333333333,20.04697415524408,0.05564962154550255,0.5945324072891208,0.0014861111111111112,0.6370716364407641,0.69
Fusion-a0.4,mild_risk,23.04133333333333,0.832514277510795,0.984375,0.0,0.0,0.45513888888888887,0.0
Fusion-a0.2,mild_risk,23.02083333333333,0.8739215470163523,0.9836111111111111,0.0,0.0,0.4554166666666667,0.0
Fusion-a0.6,mild_risk,22.91908333333333,0.9594177733545494,0.9794444444444443,0.0,0.0,0.44854166666666667,0.0
Fusion-a0.0,mild_risk,22.85883333333333,1.0046579192840674,0.9779166666666667,0.0,0.0,0.4651388888888889,0.0
Standard-DQN,mild_risk,22.85883333333333,1.0046579192840674,0.9779166666666667,0.0,0.0,0.4651388888888889,0.0
Fusion-a0.8,mild_risk,22.68383333333333,1.1985231475086657,0.970625,0.0,0.0,0.45055555555555554,0.0
Fusion-a1.0,mild_risk,22.323999999999998,1.840936558481558,0.9584722222222223,0.0,0.0,0.45666666666666667,0.0
VQC-DQN,mild_risk,22.323999999999998,1.840936558481558,0.9584722222222223,0.0,0.0,0.45666666666666667,0.0
Small-DQN,mild_risk,19.89083333333333,2.9174564079078036,0.8644444444444443,0.0,0.0,0.43944444444444447,0.0
RuleBased,mild_risk,8.979416666666667,2.943589933377614,0.44736111111111115,0.0,0.0,0.35909722222222223,0.0
Random,mild_risk,-17.754416666666668,20.53275431254059,0.21109948494581354,0.20966684010683034,0.0,0.6563027052204263,0.40166666666666667
Fusion-a0.2,moderate_risk,21.31933333333333,1.073408075733847,0.9193055555555556,0.0,0.0,0.45861111111111114,0.0
