profile,reward,steps,terminal_bad,action_decrease_count,action_maintain_count,action_increase_count,map_target_ratio,hypotension_rate,severe_hypotension_rate,lactate_high_rate,action_switch_rate,model,seed,rep
mild_risk,-21.25,17,1.0,6,8,3,0.29411764705882354,0.23529411764705882,0.058823529411764705,0.0,0.5294117647058824,Random,27,0
mild_risk,11.099999999999998,24,0.0,5,8,11,0.5416666666666666,0.0,0.0,0.0,0.6666666666666666,Random,27,1
mild_risk,-6.0,24,0.0,11,5,8,0.08333333333333333,0.041666666666666664,0.0,0.0,0.75,Random,27,2
mild_risk,-13.800000000000002,22,1.0,8,10,4,0.36363636363636365,0.13636363636363635,0.045454545454545456,0.0,0.6363636363636364,Random,27,3
mild_risk,4.5,24,0.0,5,11,8,0.2916666666666667,0.0,0.0,0.0,0.6666666666666666,Random,27,4
mild_risk,-16.9,24,0.0,8,7,9,0.041666666666666664,0.125,0.0,0.0,0.75,Random,27,5
mild_risk,-30.85,10,1.0,6,2,2,0.0,0.5,0.1,0.0,0.8,Random,27,6
mild_risk,-19.75,9,1.0,5,3,1,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.0,0.5555555555555556,Random,27,7
mild_risk,-22.95,24,0.0,8,10,6,0.0,0.16666666666666666,0.0,0.0,0.7916666666666666,Random,27,8
mild_risk,-20.95,24,1.0,10,6,8,0.25,0.16666666666666666,0.041666666666666664,0.0,0.5,Random,27,9
mild_risk,-4.65,24,0.0,9,4,11,0.125,0.041666666666666664,0.0,0.0,0.5416666666666666,Random,27,10
mild_risk,-16.1,24,0.0,9,9,6,0.25,0.16666666666666666,0.0,0.0,0.5833333333333334,Random,27,11
mild_risk,-6.4,24,0.0,6,5,13,0.4583333333333333,0.0,0.0,0.0,0.75,Random,27,12
mild_risk,8.2,24,0.0,5,9,10,0.5,0.0,0.0,0.0,0.5833333333333334,Random,27,13
mild_risk,-21.5,14,1.0,5,7,2,0.0,0.21428571428571427,0.07142857142857142,0.0,0.5714285714285714,Random,27,14
mild_risk,-16.9,12,1.0,7,3,2,0.3333333333333333,0.25,0.08333333333333333,0.0,0.6666666666666666,Random,27,15
mild_risk,-7.649999999999999,24,0.0,8,6,10,0.3333333333333333,0.0,0.0,0.0,0.625,Random,27,16
mild_risk,-15.600000000000001,22,1.0,9,6,7,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.0,0.7272727272727273,Random,27,17
mild_risk,12.249999999999998,24,0.0,7,8,9,0.5833333333333334,0.0,0.0,0.0,0.625,Random,27,18
mild_risk,4.600000000000001,24,0.0,6,11,7,0.2916666666666667,0.0,0.0,0.0,0.5833333333333334,Random,27,19
moderate_risk,-46.65,18,1.0,6,7,5,0.0,0.4444444444444444,0.05555555555555555,0.0,0.7222222222222222,Random,27,0
moderate_risk,-20.25,4,1.0,2,2,0,0.0,0.75,0.25,0.0,1.0,Random,27,1
moderate_risk,-0.5500000000000017,24,0.0,6,7,11,0.2916666666666667,0.041666666666666664,0.0,0.0,0.7916666666666666,Random,27,2
moderate_risk,-6.300000000000001,24,0.0,7,7,10,0.25,0.08333333333333333,0.0,0.0,0.5833333333333334,Random,27,3
moderate_risk,-37.55,24,0.0,9,7,8,0.0,0.2916666666666667,0.0,0.0,0.7083333333333334,Random,27,4
moderate_risk,-6.950000000000002,24,0.0,5,10,9,0.041666666666666664,0.041666666666666664,0.0,0.0,0.625,Random,27,5
moderate_risk,-25.25,5,1.0,4,0,1,0.0,0.8,0.2,0.0,0.6,Random,27,6
moderate_risk,-15.649999999999999,24,0.0,4,11,9,0.08333333333333333,0.125,0.0,0.0,0.625,Random,27,7
moderate_risk,-2.6000000000000014,24,0.0,5,7,12,0.4583333333333333,0.0,0.0,0.0,0.75,Random,27,8
moderate_risk,7.749999999999998,24,0.0,6,7,11,0.4166666666666667,0.0,0.0,0.0,0.7083333333333334,Random,27,9
moderate_risk,-12.649999999999999,21,1.0,7,8,6,0.42857142857142855,0.14285714285714285,0.047619047619047616,0.0,0.7619047619047619,Random,27,10
moderate_risk,-35.55,9,1.0,5,3,1,0.0,0.6666666666666666,0.1111111111111111,0.0,0.6666666666666666,Random,27,11
moderate_risk,-30.15,5,1.0,3,2,0,0.0,1.0,0.2,0.0,0.6,Random,27,12
moderate_risk,-28.60000000000001,24,0.0,4,9,11,0.25,0.20833333333333334,0.0,0.0,0.5833333333333334,Random,27,13
moderate_risk,-31.500000000000004,14,1.0,6,4,4,0.0,0.35714285714285715,0.07142857142857142,0.0,0.8571428571428571,Random,27,14
moderate_risk,-20.35,6,1.0,3,3,0,0.0,0.5,0.16666666666666666,0.0,0.16666666666666666,Random,27,15
moderate_risk,-5.199999999999999,24,0.0,10,2,12,0.4583333333333333,0.041666666666666664,0.0,0.0,0.4166666666666667,Random,27,16
moderate_risk,-20.15,4,1.0,3,1,0,0.0,0.75,0.25,0.0,0.25,Random,27,17
moderate_risk,-41.800000000000004,18,1.0,10,2,6,0.0,0.3888888888888889,0.05555555555555555,0.0,0.7777777777777778,Random,27,18
moderate_risk,-20.25,4,1.0,3,1,0,0.0,0.75,0.25,0.0,0.75,Random,27,19
high_risk,-40.2,7,1.0,2,4,1,0.0,1.0,0.14285714285714285,0.0,0.7142857142857143,Random,27,0
high_risk,-85.54999999999998,18,1.0,4,10,4,0.0,0.8888888888888888,0.05555555555555555,0.0,0.4444444444444444,Random,27,1
high_risk,-14.750000000000004,24,0.0,8,6,10,0.125,0.125,0.0,0.0,0.7916666666666666,Random,27,2
high_risk,-0.25000000000000044,24,0.0,8,4,12,0.375,0.041666666666666664,0.0,0.0,0.7916666666666666,Random,27,3
high_risk,-35.25,6,1.0,3,2,1,0.0,1.0,0.16666666666666666,0.0,1.0,Random,27,4
high_risk,-30.2,6,1.0,3,2,1,0.0,0.8333333333333334,0.16666666666666666,0.0,0.3333333333333333,Random,27,5
high_risk,-30.2,5,1.0,3,1,1,0.0,1.0,0.2,0.0,0.8,Random,27,6
high_risk,-55.4,11,1.0,3,6,2,0.0,0.9090909090909091,0.09090909090909091,0.0,0.6363636363636364,Random,27,7
high_risk,-21.899999999999995,24,0.0,7,6,11,0.125,0.041666666666666664,0.0,0.0,0.6666666666666666,Random,27,8
high_risk,-61.04999999999999,17,1.0,6,5,6,0.0,0.6470588235294118,0.058823529411764705,0.0,0.5882352941176471,Random,27,9
high_risk,-20.5,6,1.0,4,0,2,0.0,0.5,0.16666666666666666,0.0,0.6666666666666666,Random,27,10
high_risk,-13.050000000000002,24,0.0,9,5,10,0.0,0.08333333333333333,0.0,0.0,0.7083333333333334,Random,27,11
high_risk,-13.05,24,0.0,6,5,13,0.20833333333333334,0.0,0.0,0.0,0.7916666666666666,Random,27,12
high_risk,-62.19999999999998,24,0.0,6,8,10,0.0,0.5,0.0,0.0,0.8333333333333334,Random,27,13
high_risk,-30.9,11,1.0,4,4,3,0.0,0.45454545454545453,0.09090909090909091,0.0,0.6363636363636364,Random,27,14
high_risk,-15.149999999999999,3,1.0,2,1,0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,Random,27,15
high_risk,5.700000000000001,24,0.0,6,9,9,0.7083333333333334,0.08333333333333333,0.0,0.0,0.6666666666666666,Random,27,16
high_risk,-20.55,7,1.0,3,2,2,0.0,0.42857142857142855,0.14285714285714285,0.0,0.42857142857142855,Random,27,17
high_risk,-25.1,4,1.0,2,2,0,0.0,1.0,0.25,0.0,0.75,Random,27,18
high_risk,-20.55,7,1.0,3,3,1,0.0,0.42857142857142855,0.14285714285714285,0.0,0.42857142857142855,Random,27,19
shock_like,-16.0,2,1.0,1,1,0,0.0,1.0,0.5,1.0,0.5,Random,27,0
shock_like,-38.05,12,1.0,6,1,5,0.0,0.5,0.08333333333333333,0.16666666666666666,0.75,Random,27,1
shock_like,-22.1,3,1.0,2,1,0,0.0,1.0,0.3333333333333333,1.0,1.0,Random,27,2
shock_like,-66.84999999999998,22,1.0,9,6,7,0.0,0.5454545454545454,0.045454545454545456,0.0,0.7727272727272727,Random,27,3
shock_like,-16.05,2,1.0,1,1,0,0.0,1.0,0.5,1.0,1.0,Random,27,4
shock_like,-10.0,1,1.0,1,0,0,0.0,1.0,1.0,1.0,1.0,Random,27,5
shock_like,-17.64999999999999,24,0.0,7,7,10,0.08333333333333333,0.125,0.0,0.08333333333333333,0.625,Random,27,6
shock_like,-10.0,1,1.0,1,0,0,0.0,1.0,1.0,1.0,1.0,Random,27,7
shock_like,-22.05,3,1.0,2,1,0,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333,Random,27,8
shock_like,-31.2,5,1.0,3,0,2,0.0,1.0,0.2,0.2,0.8,Random,27,9
shock_like,-16.05,2,1.0,2,0,0,0.0,1.0,0.5,1.0,0.5,Random,27,10
shock_like,-22.05,3,1.0,2,1,0,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333,Random,27,11
shock_like,-10.0,1,1.0,1,0,0,0.0,1.0,1.0,1.0,1.0,Random,27,12
shock_like,-58.29999999999999,10,1.0,4,3,3,0.0,1.0,0.1,0.3,0.6,Random,27,13
shock_like,-12.55,24,0.0,7,5,12,0.125,0.08333333333333333,0.0,0.125,0.5416666666666666,Random,27,14
shock_like,-16.0,2,1.0,1,1,0,0.0,1.0,0.5,0.5,0.5,Random,27,15
shock_like,-10.0,1,1.0,1,0,0,0.0,1.0,1.0,1.0,1.0,Random,27,16
shock_like,-42.3,7,1.0,4,0,3,0.0,1.0,0.14285714285714285,0.2857142857142857,0.8571428571428571,Random,27,17
shock_like,-2.5000000000000004,24,0.0,6,8,10,0.20833333333333334,0.041666666666666664,0.0,0.0,0.5833333333333334,Random,27,18
shock_like,-56.599999999999994,11,1.0,3,5,3,0.0,0.8181818181818182,0.09090909090909091,0.5454545454545454,0.7272727272727273,Random,27,19
recovering,-30.400000000000002,24,0.0,6,13,5,0.08333333333333333,0.25,0.0,0.0,0.6666666666666666,Random,27,0
recovering,-42.25,21,1.0,9,7,5,0.0,0.3333333333333333,0.047619047619047616,0.0,0.8095238095238095,Random,27,1
recovering,0.8499999999999991,24,0.0,9,8,7,0.3333333333333333,0.041666666666666664,0.0,0.0,0.5416666666666666,Random,27,2
recovering,-9.700000000000005,24,0.0,8,7,9,0.3333333333333333,0.0,0.0,0.0,0.75,Random,27,3
recovering,11.149999999999999,24,0.0,7,11,6,0.5416666666666666,0.0,0.0,0.0,0.625,Random,27,4
recovering,-35.45,17,1.0,9,4,4,0.058823529411764705,0.35294117647058826,0.058823529411764705,0.0,0.5882352941176471,Random,27,5
recovering,-3.200000000000002,24,0.0,10,7,7,0.625,0.125,0.0,0.0,0.5833333333333334,Random,27,6
recovering,-26.9,18,1.0,7,8,3,0.0,0.2222222222222222,0.05555555555555555,0.0,0.6111111111111112,Random,27,7
recovering,7.999999999999998,24,0.0,6,12,6,0.4166666666666667,0.0,0.0,0.0,0.5,Random,27,8
recovering,-29.0,21,1.0,7,9,5,0.14285714285714285,0.23809523809523808,0.047619047619047616,0.0,0.7142857142857143,Random,27,9
recovering,-30.6,9,1.0,7,1,1,0.0,0.5555555555555556,0.1111111111111111,0.0,0.5555555555555556,Random,27,10
recovering,-17.0,13,1.0,7,5,1,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.0,0.6153846153846154,Random,27,11
recovering,-36.4,24,0.0,4,6,14,0.041666666666666664,0.0,0.0,0.0,0.75,Random,27,12
recovering,-23.599999999999998,24,0.0,5,15,4,0.3333333333333333,0.25,0.0,0.0,0.5,Random,27,13
recovering,14.499999999999996,24,0.0,5,10,9,0.6666666666666666,0.0,0.0,0.0,0.5833333333333334,Random,27,14
recovering,5.599999999999999,24,0.0,5,13,6,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,Random,27,15
recovering,9.699999999999994,24,0.0,7,5,12,0.7083333333333334,0.0,0.0,0.0,0.75,Random,27,16
recovering,-24.15,13,1.0,6,5,2,0.15384615384615385,0.3076923076923077,0.07692307692307693,0.0,0.7692307692307693,Random,27,17
recovering,-3.8499999999999988,24,0.0,8,7,9,0.3333333333333333,0.0,0.0,0.0,0.625,Random,27,18
recovering,2.600000000000001,24,0.0,7,7,10,0.5833333333333334,0.0,0.0,0.0,0.75,Random,27,19
mild_risk,7.050000000000002,24,0.0,0,19,5,0.375,0.0,0.0,0.0,0.375,RuleBased,27,0
mild_risk,7.0000000000000036,24,0.0,0,19,5,0.375,0.0,0.0,0.0,0.4166666666666667,RuleBased,27,1
mild_risk,8.200000000000003,24,0.0,0,20,4,0.4166666666666667,0.0,0.0,0.0,0.3333333333333333,RuleBased,27,2
mild_risk,12.7,24,0.0,0,21,3,0.5833333333333334,0.0,0.0,0.0,0.25,RuleBased,27,3
mild_risk,9.300000000000002,24,0.0,0,20,4,0.4583333333333333,0.0,0.0,0.0,0.3333333333333333,RuleBased,27,4
mild_risk,11.500000000000002,24,0.0,0,20,4,0.5416666666666666,0.0,0.0,0.0,0.3333333333333333,RuleBased,27,5
mild_risk,8.100000000000001,24,0.0,0,19,5,0.4166666666666667,0.0,0.0,0.0,0.4166666666666667,RuleBased,27,6
mild_risk,8.100000000000001,24,0.0,0,19,5,0.4166666666666667,0.0,0.0,0.0,0.4166666666666667,RuleBased,27,7
mild_risk,16.0,24,0.0,0,21,3,0.7083333333333334,0.0,0.0,0.0,0.25,RuleBased,27,8
mild_risk,4.7,24,0.0,0,18,6,0.2916666666666667,0.0,0.0,0.0,0.5,RuleBased,27,9
mild_risk,8.150000000000004,24,0.0,0,19,5,0.4166666666666667,0.0,0.0,0.0,0.375,RuleBased,27,10
mild_risk,6.000000000000001,24,0.0,0,20,4,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,RuleBased,27,11
