profile,reward,steps,terminal_bad,action_decrease_count,action_maintain_count,action_increase_count,map_target_ratio,hypotension_rate,severe_hypotension_rate,lactate_high_rate,action_switch_rate,model,seed,rep,trained_reward_mode
mild_risk,22.949999999999992,24,0.0,8,5,11,1.0,0.0,0.0,0.0,0.875,Standard-DQN,15,0,map_only
mild_risk,22.89999999999999,24,0.0,8,6,10,1.0,0.0,0.0,0.0,0.9166666666666666,Standard-DQN,15,1,map_only
mild_risk,22.14999999999999,24,0.0,7,8,9,0.9583333333333334,0.0,0.0,0.0,0.625,Standard-DQN,15,2,map_only
mild_risk,23.249999999999993,24,0.0,5,11,8,1.0,0.0,0.0,0.0,0.625,Standard-DQN,15,3,map_only
mild_risk,21.74999999999999,24,0.0,8,4,12,0.9583333333333334,0.0,0.0,0.0,0.9583333333333334,Standard-DQN,15,4,map_only
mild_risk,23.049999999999994,24,0.0,8,6,10,1.0,0.0,0.0,0.0,0.7916666666666666,Standard-DQN,15,5,map_only
mild_risk,22.949999999999992,24,0.0,6,9,9,1.0,0.0,0.0,0.0,0.875,Standard-DQN,15,6,map_only
mild_risk,22.999999999999993,24,0.0,6,9,9,1.0,0.0,0.0,0.0,0.8333333333333334,Standard-DQN,15,7,map_only
mild_risk,23.149999999999995,24,0.0,4,13,7,1.0,0.0,0.0,0.0,0.7083333333333334,Standard-DQN,15,8,map_only
mild_risk,19.59999999999999,24,0.0,9,4,11,0.875,0.0,0.0,0.0,0.9166666666666666,Standard-DQN,15,9,map_only
mild_risk,23.049999999999994,24,0.0,7,7,10,1.0,0.0,0.0,0.0,0.7916666666666666,Standard-DQN,15,10,map_only
mild_risk,23.09999999999999,24,0.0,7,7,10,1.0,0.0,0.0,0.0,0.75,Standard-DQN,15,11,map_only
mild_risk,21.849999999999994,24,0.0,9,5,10,0.9583333333333334,0.0,0.0,0.0,0.875,Standard-DQN,15,12,map_only
mild_risk,23.04999999999999,24,0.0,7,8,9,1.0,0.0,0.0,0.0,0.7916666666666666,Standard-DQN,15,13,map_only
mild_risk,21.999999999999993,24,0.0,7,8,9,0.9583333333333334,0.0,0.0,0.0,0.75,Standard-DQN,15,14,map_only
mild_risk,21.749999999999993,24,0.0,11,2,11,0.9583333333333334,0.0,0.0,0.0,0.9583333333333334,Standard-DQN,15,15,map_only
mild_risk,21.749999999999993,24,0.0,10,1,13,0.9583333333333334,0.0,0.0,0.0,0.9583333333333334,Standard-DQN,15,16,map_only
mild_risk,23.199999999999992,24,0.0,5,10,9,1.0,0.0,0.0,0.0,0.6666666666666666,Standard-DQN,15,17,map_only
mild_risk,21.74999999999999,24,0.0,8,4,12,0.9583333333333334,0.0,0.0,0.0,0.9583333333333334,Standard-DQN,15,18,map_only
mild_risk,21.84999999999999,24,0.0,7,7,10,0.9583333333333334,0.0,0.0,0.0,0.875,Standard-DQN,15,19,map_only
moderate_risk,21.14999999999999,24,0.0,3,12,9,0.9166666666666666,0.0,0.0,0.0,0.5416666666666666,Standard-DQN,15,0,map_only
moderate_risk,22.199999999999996,24,0.0,3,13,8,0.9583333333333334,0.0,0.0,0.0,0.5833333333333334,Standard-DQN,15,1,map_only
moderate_risk,20.89999999999999,24,0.0,9,4,11,0.9166666666666666,0.0,0.0,0.0,0.75,Standard-DQN,15,2,map_only
moderate_risk,21.049999999999994,24,0.0,4,11,9,0.9166666666666666,0.0,0.0,0.0,0.625,Standard-DQN,15,3,map_only
moderate_risk,18.599999999999994,24,0.0,8,2,14,0.8333333333333334,0.0,0.0,0.0,0.8333333333333334,Standard-DQN,15,4,map_only
moderate_risk,21.099999999999998,24,0.0,4,11,9,0.9166666666666666,0.0,0.0,0.0,0.5833333333333334,Standard-DQN,15,5,map_only
moderate_risk,21.949999999999992,24,0.0,7,6,11,0.9583333333333334,0.0,0.0,0.0,0.7916666666666666,Standard-DQN,15,6,map_only
